iter	Passed	Remaining
630	24568	14367
631	24586	14316
632	24606	14266
633	24632	14219
634	24656	14172
635	24681	14125
636	24707	14079
637	24739	14037
638	24769	13993
639	24793	13946
640	24819	13900
641	24842	13852
642	24870	13808
643	24899	13764
644	24924	13718
645	24956	13675
646	24988	13633
647	25007	13584
648	25034	13539
649	25072	13500
650	25117	13465
651	25155	13426
652	25184	13382
653	25214	13339
654	25240	13294
655	25273	13253
656	25296	13206
657	25315	13158
658	25337	13110
659	25355	13062
660	25379	13016
661	25401	12969
662	25420	12921
663	25438	12872
664	25459	12825
665	25483	12780
666	25507	12734
667	25523	12685
668	25539	12635
669	25555	12586
670	25575	12539
671	25596	12493
672	25619	12448
673	25638	12401
674	25658	12354
675	25677	12306
676	25693	12258
677	25713	12212
678	25731	12164
679	25753	12119
680	25776	12074
681	25798	12029
682	25837	11992
683	25885	11958
684	25915	11917
685	25964	11884
686	26000	11845
687	26021	11800
688	26043	11755
689	26066	11710
690	26094	11668
691	26120	11625
692	26159	11588
693	26183	11544
694	26204	11499
695	26231	11457
696	26277	11423
697	26314	11385
698	26351	11347
699	26371	11302
700	26396	11258
701	26446	11226
702	26484	11188
703	26537	11157
704	26559	11113
705	26584	11070
706	26622	11032
707	26657	10994
708	26683	10951
709	26715	10911
710	26745	10871
711	26780	10832
712	26844	10805
713	26895	10773
714	26962	10747
715	26998	10708
716	27047	10675
717	27098	10643
718	27143	10608
719	27172	10567
720	27220	10533
721	27247	10491
722	27278	10451
723	27315	10412
724	27340	10370
725	27376	10332
726	27405	10291
727	27445	10254
728	27508	10226
729	27555	10191
730	27601	10156
731	27648	10122
732	27676	10081
733	27707	10041
734	27737	10000
735	27768	9960
736	27789	9916
737	27825	9878
738	27854	9837
739	27875	9794
740	27905	9753
741	27939	9714
742	27958	9670
743	27977	9626
744	28009	9587
745	28045	9549
746	28067	9506
747	28092	9464
748	28130	9426
749	28152	9384
750	28201	9350
751	28234	9311
752	28256	9268
753	28289	9229
754	28316	9188
755	28352	9150
756	28371	9107
757	28400	9067
758	28442	9031
759	28470	8990
760	28494	8948
761	28532	8911
762	28570	8874
763	28589	8831
764	28610	8788
765	28629	8745
766	28654	8704
767	28738	8681
768	28776	8644
769	28926	8640
770	28975	8606
771	29023	8571
772	29078	8539
773	29122	8503
774	29162	8466
775	29218	8434
776	29255	8396
777	29311	8363
778	29392	8338
779	29429	8300
780	29477	8265
781	29518	8229
782	29556	8191
783	29583	8150
784	29603	8107
785	29637	8069
786	29663	8028
787	29686	7986
788	29719	7947
789	29746	7907
790	29765	7864
791	29789	7823
792	29811	7781
793	29849	7744
794	29905	7711
795	29938	7672
796	29973	7634
797	30009	7596
798	30035	7555
799	30064	7516
800	30100	7478
801	30119	7436
802	30140	7394
803	30166	7353
804	30204	7316
805	30221	7274
806	30255	7235
807	30303	7200
808	30408	7179
809	30433	7138
810	30469	7100
811	30510	7064
812	30546	7026
813	30593	6990
814	30614	6949
815	30638	6908
816	30667	6869
817	30699	6830
818	30739	6793
819	30764	6753
820	30798	6714
821	30830	6676
822	30871	6639
823	30913	6602
824	30954	6566
825	30991	6528
826	31028	6490
827	31057	6451
828	31079	6410
829	31109	6371
830	31133	6331
831	31153	6290
832	31187	6252
833	31210	6212
834	31233	6171
835	31255	6131
836	31278	6091
837	31300	6050
838	31344	6014
839	31375	5976
840	31434	5942
841	31461	5903
842	31486	5864
843	31515	5825
844	31546	5786
845	31589	5750
846	31626	5712
847	31653	5673
848	31697	5637
849	31731	5599
850	31771	5562
851	31916	5544
852	31956	5507
853	32016	5473
854	32047	5434
855	32088	5398
856	32116	5358
857	32156	5322
858	32188	5283
859	32217	5244
860	32264	5208
861	32299	5170
862	32340	5133
863	32374	5095
864	32418	5059
865	32449	5021
866	32489	4983
867	32518	4945
868	32554	4907
869	32583	4868
870	32610	4829
871	32633	4790
872	32657	4750
873	32695	4713
874	32740	4677
875	32759	4637
876	32780	4597
877	32815	4559
878	32860	4523
879	32883	4484
880	32926	4447
881	32962	4409
882	32981	4370
883	33003	4330
884	33055	4295
885	33095	4258
886	33115	4218
887	33158	4182
888	33190	4144
889	33208	4104
890	33227	4064
891	33242	4024
892	33266	3985
893	33287	3946
894	33306	3907
895	33326	3868
896	33359	3830
897	33395	3793
898	33427	3755
899	33467	3718
900	33492	3680
901	33510	3640
902	33533	3602
903	33557	3563
904	33586	3525
905	33615	3487
906	33644	3449
907	33692	3413
908	33718	3375
909	33736	3336
910	33760	3298
911	33782	3259
912	33820	3222
913	33855	3185
914	33892	3148
915	33918	3110
916	33949	3072
917	33979	3035
918	34012	2997
919	34057	2961
920	34082	2923
921	34102	2885
922	34122	2846
923	34176	2811
924	34221	2774
925	34257	2737
926	34302	2701
927	34354	2665
928	34396	2628
929	34446	2592
930	34480	2555
931	34524	2518
932	34558	2481
933	34592	2444
934	34615	2406
935	34644	2368
936	34673	2331
937	34702	2293
938	34752	2257
939	34792	2220
940	34836	2184
941	34865	2146
942	34886	2108
943	34925	2071
944	35009	2037
945	35144	2006
946	35191	1969
947	35238	1932
948	35272	1895
949	35309	1858
950	35355	1821
951	35380	1783
952	35417	1746
953	35458	1709
954	35485	1672
955	35517	1634
